donor,recipient,engraftment rate,flux,metabolism
D-14,30,0.11035561068871585,0.48093804856778305,gas metabolism
D-14,31,0.0879269873722694,0.4239434758003049,gas metabolism
D-14,32,0.13974276090074866,0.30614506985840917,gas metabolism
D-14,33,0.13323333842704319,0.31389658723359987,gas metabolism
D-14,36,0.06755800123885791,0.580615348076377,gas metabolism
D-14,37,0.26968399876032356,0.37844153805109665,gas metabolism
D-14,54,0.035725307761771484,0.42562616628286165,gas metabolism
D-14,56,0.1131965804218556,0.9408921638202677,gas metabolism
D-14,59,0.17255460085809965,0.5701427922914725,gas metabolism
D-14,70,0.18146477171037562,0.7440821237392383,gas metabolism
D-14,71,0.12944271160987952,1.233338049064564,gas metabolism
D-14,75,0.0982208237646753,0.40944422592770335,gas metabolism
D-14,77,0.23161268177484248,1.101879266698775,gas metabolism
D-14,78,0.32370195706420385,0.4631686271105314,gas metabolism
D-14,88,0.06707198624079008,0.3365345629995223,gas metabolism
D-14,89,-0.018096211085061837,0.41315123018255456,gas metabolism
D-15Fryst,11,0.15191574214371475,2.270109157246529,gas metabolism
D-15Fryst,12,-0.04991504638272966,0.6631878950329582,gas metabolism
D-15Fryst,16,0.35686981066080437,0.48006637878428715,gas metabolism
D-15Fryst,18,0.2967184646806043,0.546173260863011,gas metabolism
D-15Fryst,19,0.056159733316857016,0.5123300830924128,gas metabolism
D-15Fryst,22,0.3206728467216405,0.3410808339403385,gas metabolism
D-15Fryst,23,0.01469504621807856,0.2548582258777697,gas metabolism
D-15Fryst,24,0.27327105199018764,0.4969232296057327,gas metabolism
D-15Fryst,25,0.13565806649254086,0.4852723547192254,gas metabolism
D-15Fryst,3,0.07920010703393836,0.6960308397330273,gas metabolism
D-15Fryst,30,0.13856797286424938,0.4068939966110457,gas metabolism
D-15Fryst,31,0.05776441296493989,0.280399984567227,gas metabolism
D-15Fryst,32,0.16567648550563002,0.38428745851637625,gas metabolism
D-15Fryst,33,0.16528884263225954,0.34739625363548576,gas metabolism
D-15Fryst,36,-0.10194671603341446,0.5382756812822996,gas metabolism
D-15Fryst,37,0.37912253729362194,0.3349523548155365,gas metabolism
D-15Fryst,54,-0.20875617531081903,0.342957314260867,gas metabolism
D-15Fryst,56,0.1969569295256649,0.42325522707359403,gas metabolism
D-15Fryst,59,0.29052579465312817,0.5956503658556405,gas metabolism
D-15Fryst,70,0.10318964064087449,0.6166186635896788,gas metabolism
D-15Fryst,71,0.1762725299185905,0.7156060451466536,gas metabolism
D-15Fryst,75,0.2270242030554852,0.3454168381320192,gas metabolism
D-15Fryst,77,0.23073858230062005,1.1760917056378584,gas metabolism
D-15Fryst,78,0.4064038108900896,0.5018019270926153,gas metabolism
D-15Fryst,90,0.1396265268736193,0.3979064298413003,gas metabolism
D-2,16,0.12799612722968093,0.5757610482630925,gas metabolism
