taxon,donor,donor_abd
AZC7E_97,T,0
AZC9C_102,T,0
AZC9C_14,T,0
AZC9C_25,T,0
AZC9C_27,T,0
AZC9C_34,T,0.00305904885449992
AZC9C_57,T,0
AZC9C_88,T,0
AZC3J_1,T,0.00115126507180395
AZC3J_20,T,0
AZC3J_25,T,0
AZC3J_26,T,0.00170954762022378
AZC3J_31,T,0
AZC3J_45,T,0.00103644340629204
AZC3J_49,T,0
AZC3J_56,T,0
AZC3J_57,T,0
AZC3J_59,T,0
AZC3J_6,T,0.0075091584017834
AZC3J_60,T,0
AZC3J_61,T,0
AZC3J_71,T,0.00102461424186667
AZC3J_77,T,0
AZC3J_82,T,0
AZC3J_9,T,0
AZC3J_95,T,0.00127455351017372
AZC5T_115,T,0.00356476086850234
AZC5T_67,T,0.00171702441030558
AZC7E_107,T,0
AZC7E_47,T,0.0134934760161127
AZC7E_74,T,0
AZC9C_108,T,0
AZC9C_110,T,0
AZC9C_115,T,0
AZC9C_3,T,0
AZC9C_30,T,0
AZC9C_60,T,0.00562905818179526
AZC9C_69,T,0
AZC9C_80,T,0
AZC9C_81,T,0
AZC9C_91,T,0
AZC9C_97,T,0
AZC3J_10,T,0.00152883090611695
AZC3J_2,T,0.00131305337517472
AZC3J_62,T,0.0158605224325745
AZC3J_63,T,0.00122677794750682
AZC3J_70,T,0.00148962876792973
AZC3J_92,T,0.00105993540595566
AZC5T_1,T,0.00718417221333289
AZC5T_111,T,0.00178649999133488
AZC5T_12,T,0.00931414248240208
AZC5T_17,T,0.00226213904931912
AZC5T_24,T,0.00121540138898924
AZC5T_4,T,0.00334907430775127
AZC5T_47,T,0.00612496199839385
AZC5T_49,T,0.0092482554203257
AZC5T_53,T,0.00874155513589086
AZC5T_58,T,0.0129989552646459
AZC5T_61,T,0.00225098931533925
AZC5T_63,T,0.0022825336357092
AZC5T_65,T,0.0041881959455679
AZC5T_71,T,0.00107237492496565
AZC5T_79,T,0.00181082392064396
AZC5T_82,T,0.00131381562804121
AZC5T_90,T,0.0011251195418446
AZC5T_99,T,0.00284121208249878
AZC7E_117,T,0.00718410111360434
AZC7E_22,T,0.0071839753907168
AZC7E_52,T,0.00718400686894592
AZC9C_58,T,0.00112647886692334
