taxon,average_distance,recipient,donor_subject,n_donor_replicates_used
537011,3.5668180521616937,FAT_015,FAT_DON_11,3
537012,12.865629400096338,FAT_015,FAT_DON_11,3
537013,4.471465653813294,FAT_015,FAT_DON_11,3
537937,5.586041998874376,FAT_015,FAT_DON_11,3
537973,3.360649097429279,FAT_015,FAT_DON_11,3
543734,3.1904208033352397,FAT_015,FAT_DON_11,3
545696,5.655284899964461,FAT_015,FAT_DON_11,3
545697,2.9011056686341923,FAT_015,FAT_DON_11,3
546269,2.1031955978439068,FAT_015,FAT_DON_11,3
546273,10.951110037179506,FAT_015,FAT_DON_11,3
547042,5.638282400881014,FAT_015,FAT_DON_11,3
547043,2.5780247672527055,FAT_015,FAT_DON_11,3
548480,5.924827614584667,FAT_015,FAT_DON_11,3
552396,6.863413525268878,FAT_015,FAT_DON_11,3
552398,6.6807424450249995,FAT_015,FAT_DON_11,3
552531,4.197747613184536,FAT_015,FAT_DON_11,3
555970,4.207947697565281,FAT_015,FAT_DON_11,3
556258,4.071274692192175,FAT_015,FAT_DON_11,3
556259,4.515529649180244,FAT_015,FAT_DON_11,3
556270,3.079808347091815,FAT_015,FAT_DON_11,3
563192,4.801406872231484,FAT_015,FAT_DON_11,3
563193,6.2296447392058845,FAT_015,FAT_DON_11,3
565040,5.4594447927370515,FAT_015,FAT_DON_11,3
565042,5.360644744263368,FAT_015,FAT_DON_11,3
566550,5.641574401606161,FAT_015,FAT_DON_11,3
566552,2.0131716338326044,FAT_015,FAT_DON_11,3
568703,2.725810276515757,FAT_015,FAT_DON_11,3
573236,4.188229385035303,FAT_015,FAT_DON_11,3
580050,4.194980629955179,FAT_015,FAT_DON_11,3
585054,2.092757669994786,FAT_015,FAT_DON_11,3
585394,7.247406583007732,FAT_015,FAT_DON_11,3
585543,9.933092950706149,FAT_015,FAT_DON_11,3
585544,4.28809220648741,FAT_015,FAT_DON_11,3
591020,2.2368713681859105,FAT_015,FAT_DON_11,3
592028,3.1342311639162364,FAT_015,FAT_DON_11,3
622312,8.914402782599016,FAT_015,FAT_DON_11,3
626522,0.0,FAT_015,FAT_DON_11,3
626939,5.656052085489928,FAT_015,FAT_DON_11,3
641112,5.919572737372104,FAT_015,FAT_DON_11,3
645463,6.137749122276368,FAT_015,FAT_DON_11,3
649757,12.966385164558368,FAT_015,FAT_DON_11,3
655811,1.548796602919605,FAT_015,FAT_DON_11,3
657308,5.962161664329379,FAT_015,FAT_DON_11,3
657309,6.151564466007109,FAT_015,FAT_DON_11,3
657313,8.638806353628565,FAT_015,FAT_DON_11,3
657314,8.294737071822329,FAT_015,FAT_DON_11,3
657317,10.539697147999801,FAT_015,FAT_DON_11,3
657319,6.9968956412073995,FAT_015,FAT_DON_11,3
657321,8.446540712551608,FAT_015,FAT_DON_11,3
657322,11.025934641569316,FAT_015,FAT_DON_11,3
657323,11.803267438866206,FAT_015,FAT_DON_11,3
658089,12.675887039352034,FAT_015,FAT_DON_11,3
658659,5.2252805924500825,FAT_015,FAT_DON_11,3
665943,2.477256761620281,FAT_015,FAT_DON_11,3
665951,8.672252921172124,FAT_015,FAT_DON_11,3
665953,5.919287011915568,FAT_015,FAT_DON_11,3
679935,7.090998466625629,FAT_015,FAT_DON_11,3
702443,6.25028849422806,FAT_015,FAT_DON_11,3
702444,4.302340895102743,FAT_015,FAT_DON_11,3
702447,5.051238071959632,FAT_015,FAT_DON_11,3
702459,1.378951892147863,FAT_015,FAT_DON_11,3
709991,10.746181277340304,FAT_015,FAT_DON_11,3
717959,9.78802361879748,FAT_015,FAT_DON_11,3
717960,7.814950187642428,FAT_015,FAT_DON_11,3
717962,11.89659302514397,FAT_015,FAT_DON_11,3
718252,11.339007937521584,FAT_015,FAT_DON_11,3
742725,3.144175606558097,FAT_015,FAT_DON_11,3
742726,8.31533295775637,FAT_015,FAT_DON_11,3
742727,6.272502488433805,FAT_015,FAT_DON_11,3
742729,4.183169498954083,FAT_015,FAT_DON_11,3
742733,5.703001778650248,FAT_015,FAT_DON_11,3
742740,8.307959915369727,FAT_015,FAT_DON_11,3
742741,6.180393144622904,FAT_015,FAT_DON_11,3
742742,2.0608908306543587,FAT_015,FAT_DON_11,3
742743,2.249094457256636,FAT_015,FAT_DON_11,3
