id,abundance,sample_id,kingdom,phylum,class,order,family,genus,species
AZC7E_32,34523.65497293603,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,UBA3263,GCA_001689615.1
AZC7E_34,6765.676051562072,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,
AZC7E_36,26730.977717412192,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-873,
AZC7E_37,59050.536412195775,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-485,
AZC7E_38,138911.0134248857,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-1031,GCA_001689425.1
AZC7E_39,25898.05579147858,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Homeothermus,GCA_002492595.1
AZC7E_4,17856.52863919508,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-873,
AZC7E_42,118913.73887245155,E,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,UBA7001,
AZC7E_48,27312.505483096997,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,
AZC7E_5,10504.42449177722,E,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,DTU089,Eubacterium_R,
AZC7E_54,174864.5403600923,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-1031,GCA_001689585.1
AZC7E_55,10350.17323805568,E,Bacteria,Firmicutes,Bacilli,RF39,UBA660,CAG-582,
AZC7E_58,26029.4829455907,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-1031,GCA_001689575.1
AZC7E_60,22838.895991805657,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-485,CAG-485 sp4
AZC7E_61,17068.002387278255,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,UBA7173,GCA_001689485.1
AZC7E_62,19740.22065079161,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,28-4,
AZC7E_68,58275.00334376032,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-1031,GCA_001689535.1
AZC7E_70,135006.0615257382,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-485,GCA_002361275.1
AZC7E_71,9854.391413192196,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-873,
AZC7E_72,7384.626740360048,E,Bacteria,Cyanobacteriota,Vampirovibrionia,Gastranaerophilales,Gastranaerophilaceae,Gastranaerophilus,Gastranaerophilus phascolarctosicola
AZC7E_73,110383.07570010965,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides acidifaciens
AZC7E_76,8471.605602886824,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-56,
AZC7E_77,9205.92722482559,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,28-4,
AZC7E_79,31279.987627370487,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-873,
AZC7E_80,29841.258787398696,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-303,
AZC7E_81,19080.551488812438,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-485,CAG-485 sp6
AZC7E_84,13309.398212819708,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-873,
AZC7E_87,25441.89708431326,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes sp3
AZC7E_88,9462.560483503374,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-873,
AZC7E_89,76064.74308435073,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-1031,CAG-1031 sp1
AZC7E_90,14128.13888889608,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,UBA7173,
AZC7E_91,16248.278707624902,E,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,UBA7001,
AZC7E_93,16112.502772980277,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9,
AZC7E_94,9668.502976076947,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,UBA7173,
AZC7E_95,14237.944566922632,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,S24-7,
AZC7E_96,24836.190384643523,E,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus_B,Lactobacillus_B murinus
AZC7E_97,26179.893895596248,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,GCA_002358575.1
AZC9C_102,13660.674993083228,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,
AZC9C_106,70959.7364246862,E,Bacteria,Firmicutes_A,Clostridia,4C28d-15,UBA3700,Christensenella,
AZC9C_113,8777.366766781155,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-56,
AZC9C_116,10402.889615579112,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA3282,
