taxon,colonization_binary,distance,independence,mean_d0_abundance,diversity_ratio
AZC5T_115,0,1.23094788054484,15.39,4.4925190875e-06,0.871802840228123
AZC5T_119,0,0.911909833396288,15.79,0.00090793443097997,0.871802840228123
AZC7E_22,0,2.90138760990628,10.2,0.00043164958284397,0.871802840228123
AZC7E_29,0,3.25527588986443,17.54,0.00017707423897043,0.871802840228123
AZC7E_45,0,1.42843686980727,15.88,0.0003351193883279,0.871802840228123
AZC7E_47,0,6.64365635322379,2,0.00032174852606426,0.871802840228123
AZC7E_52,0,2.89999282964234,19.48,0.00048568608369209,0.871802840228123
AZC7E_57,0,2.77111752063556,14.48,0.00026868783768031,0.871802840228123
AZC7E_69,0,4.24601929877624,16.71,0.00099953911437153,0.871802840228123
AZC7E_114,0,4.65308976664337,18.14,0.0005148750513771,0.871802840228123
AZC7E_117,0,2.97345704932576,17.22,0.00025198169595457,0.871802840228123
AZC9C_18,0,12.3651538891423,23.31,0.00069935979827496,0.871802840228123
AZC9C_58,0,0.391687942856313,8.52,0.00063951000329266,0.871802840228123
AZC9C_60,0,3.41704678367429,10.3,9.24371481386e-05,0.871802840228123
AZC9C_75,0,3.10165936139927,22.54,0.00056251872636171,0.871802840228123
AZC9C_86,0,0.336163054331413,18.42,0.00013460953632361,0.871802840228123
AZC3J_3,0,0.363299826903384,16.29,0.00018228033235336,1.1045849764677
AZC3J_76,1,5.8502242794857,20.87,0.00017357825538277,1.1045849764677
AZC5T_8,0,0.663293894891311,14.76,0.0001244655644785,1.1045849764677
AZC5T_14,0,1.14088162691657,13.21,0.00016464192336989,1.1045849764677
AZC5T_19,0,2.45025601345021,14.69,0.00035980309939895,1.1045849764677
AZC5T_30,0,0.254731723840027,11.93,0.00058168755709065,1.1045849764677
AZC5T_37,0,0.93249640786536,23.35,1.34686763686e-05,1.1045849764677
AZC5T_38,0,0.615366277620601,17.81,4.528878466929e-05,1.1045849764677
AZC5T_44,0,6.30731715669013,5.8,0.00013625692165432,1.1045849764677
AZC5T_57,0,0.459980728917183,14.7,0.0003256758950206,1.1045849764677
AZC5T_66,0,2.99345347137521,11.55,5.3903147103e-07,1.1045849764677
AZC5T_68,0,1.64902493338087,17.03,0.00017850188618267,1.1045849764677
AZC5T_78,0,1.51168320812115,16.06,0.00075262985081993,1.1045849764677
AZC5T_80,0,1.85841675589338,22.19,1.24772205866e-06,1.1045849764677
AZC5T_93,0,3.1769122008232,23.45,0.00059730439457289,1.1045849764677
AZC5T_94,0,4.20059368662717,22.81,0.00013959663982018,1.1045849764677
AZC5T_97,1,10.2342594037731,22.38,0.00070241294766753,1.1045849764677
AZC5T_104,0,0.678816724934199,16.3,0.00062232994000065,1.1045849764677
AZC5T_107,1,6.26412513121403,22.04,0.00087270386088455,1.1045849764677
AZC5T_109,0,0.368082923385509,19.28,0.00037882430860402,1.1045849764677
AZC5T_119,0,0.394943361043322,15.79,0.00011353874416362,1.1045849764677
AZC5T_120,0,0.409460191334432,7.44,2.232234500367e-05,1.1045849764677
AZC5T_122,0,0.430901389355763,20.55,0.00021356972411134,1.1045849764677
AZC7E_12,0,0.80449156825493,22.55,0.00040246260454783,1.1045849764677
AZC7E_15,0,5.32007668527835,14.76,0.00015399308913212,1.1045849764677
AZC7E_39,1,12.7554062744525,20.88,1.229588562744e-05,1.1045849764677
AZC7E_51,0,0.758058628915382,15.64,7.517938721251e-05,1.1045849764677
AZC7E_57,0,0.525234964133688,14.48,8.540006191163e-05,1.1045849764677
AZC7E_59,0,0.239567701557423,6.4,0.00084564905013402,1.1045849764677
AZC7E_61,1,5.56477615501731,21.2,0.00014991823963856,1.1045849764677
AZC7E_64,0,2.27682189013442,21.58,0.00097000461716426,1.1045849764677
AZC7E_73,1,13.9625120496454,21.16,0.00053019606432206,1.1045849764677
AZC7E_77,0,0.576879987084686,16.65,0.00016679480487693,1.1045849764677
AZC7E_82,0,0.480268543946815,7.01,2.861070875515e-05,1.1045849764677
AZC7E_89,1,11.0563807970206,19.95,9.726343624692e-05,1.1045849764677
AZC7E_96,0,3.89892714677157,9.89,7.0554335521e-07,1.1045849764677
AZC7E_109,0,1.03351275210669,22.18,0.00088254375942813,1.1045849764677
AZC7E_114,0,0.597413513942137,18.14,3.54477399642e-06,1.1045849764677
AZC9C_18,0,5.65422375187661,23.31,3.314590890928e-05,1.1045849764677
AZC9C_29,0,0.534274858587683,14.05,0.0001234364584447,1.1045849764677
AZC9C_32,0,1.33461669786734,23.45,7.637005111643e-05,1.1045849764677
AZC9C_40,0,0.27533080227792,21.85,0.00094615135754387,1.1045849764677
AZC9C_53,0,1.23885755833917,7.05,0.00023021081039382,1.1045849764677
AZC9C_54,0,2.61162091751278,14.69,0.00029620787653101,1.1045849764677
AZC9C_61,0,0.657978976289102,8.18,0.00027784369998285,1.1045849764677
AZC9C_71,0,6.01124596174688,9.89,2.89801782542e-06,1.1045849764677
AZC9C_75,1,7.06464968843081,22.54,6.153201800125e-05,1.1045849764677
AZC9C_86,0,0.390290759575869,18.42,0.0001108881725707,1.1045849764677
AZC9C_93,0,0.216718053782593,14.45,0.00045387483418419,1.1045849764677
AZC9C_95,0,3.31015057623906,14.8,1.252077672463e-05,1.1045849764677
AZC9C_106,0,0.910043975329445,10.69,1.02465713562e-06,1.1045849764677
AZC9C_112,0,0.719616943095291,13.06,0.00013320195017916,1.1045849764677
AZC9C_113,0,1.96139684627557,15.95,0.00101053700189766,1.1045849764677
AZC9C_116,0,2.79961659538502,15.56,0.00093983210433624,1.1045849764677
AZC3J_3,0,0.446683898035643,16.29,0.00089001585427131,1.07095089327705
AZC3J_28,0,0.488997315129104,21.44,4.595414855854e-05,1.07095089327705
