taxon,growth_rate,degree.centrality,distance,independence,mean_d0_abundance,diversity_ratio,log_fold_change,colonization_binary
AZC3J_10,0.0236853021486562,4.07246376811594,0.434665304174444,17.08,0.00025624942845585,0.933749629677281,0.0691466298266906,0
AZC3J_26,0.0264067425333971,2.42028985507246,0.438530696328792,15.35,0.00019398026315544,0.933749629677281,0.238625642073789,0
AZC3J_45,0.0160171839368881,2.07246376811594,0.271530189653932,13.71,0.00024841826807275,0.933749629677281,-0.0130827437013091,0
AZC3J_62,0.245020186223986,5.04347826086957,4.86356131136716,22.18,0.00012820142636226,0.933749629677281,-0.210165989270596,0
AZC3J_63,0.0189624894426245,1.42028985507246,0.288802634883009,12.82,7.37394599201e-05,0.933749629677281,0.521833243058852,0
AZC3J_70,0.023307047020688,4.15942028985507,1.73736164907821,11.71,0.00036526465692861,0.933749629677281,0.0589752844161023,0
AZC3J_71,0.0158263890522282,2.6231884057971,0.31526794181895,3.48,0.0007210798253407,0.933749629677281,-0.375815220701393,0
AZC3J_92,0.0174065572767638,4.07246376811594,0.768910262595843,15.68,0.00083826517984062,0.933749629677281,-0.721996539666376,0
AZC3J_95,0.0196963216010119,3.89855072463768,0.318069066721056,10.09,1.186930591708e-05,0.933749629677281,0.705125651142436,0
AZC5T_1,0.11110849906389,2.44927536231884,2.10822966600324,16.71,0.0001393784114461,0.933749629677281,-0.341548991630121,0
AZC5T_4,0.0517384498899834,3.15942028985507,0.990019872282227,9.28,0.00032711100884515,0.933749629677281,0.13095765548911,0
AZC5T_12,0.143933283480982,3.10144927536232,4.21921479932029,20.98,0.000472662968291,0.933749629677281,-0.129135001607421,0
AZC5T_24,0.01877956004472,3.17391304347826,0.279919488428163,14.34,0.00011913894881357,0.933749629677281,0.231924079568727,0
AZC5T_34,0.111052295875431,4,2.93108387471164,21.12,0.00011982521959815,0.933749629677281,-0.261130409164324,0
AZC5T_47,0.0946528939033855,4.01449275362319,1.63645244842365,13.95,0.00040373511485763,0.933749629677281,-0.162639937777665,0
AZC5T_49,0.142888212394914,3.66666666666667,3.85229908301275,21.93,4.764804831416e-05,0.933749629677281,-0.243965192311994,0
AZC5T_51,0.0312578408788286,4.15942028985507,0.392918231219252,4.43,4.052089803388e-05,0.933749629677281,-0.905999992151936,0
AZC5T_53,0.135098286336588,3.59420289855072,3.67341786490922,20.99,1.81263328645e-05,0.933749629677281,-0.208288979043334,0
AZC5T_58,0.200788526958154,10.5217391304348,6.09495393271231,21.7,1.428251766087e-05,0.933749629677281,-0.201858845251635,0
AZC5T_61,0.0347942853846956,2.98550724637681,0.550960314189416,22.2,8.532118403686e-05,0.933749629677281,-0.159531026235033,0
AZC5T_63,0.0352935467333528,1.95652173913043,0.549440467170509,14.11,0.00020760724937131,0.933749629677281,0.873576278254771,0
AZC5T_65,0.0647009693556304,3.97101449275362,1.15835653282706,15.6,8.183204602732e-05,0.933749629677281,0.469517360459262,0
AZC5T_71,0.0165728802102221,2.14492753623188,0.273105452690665,11.51,0.0001087630416656,0.933749629677281,-0.0570467405099552,0
AZC5T_79,0.027989530298427,2.63768115942029,0.410002074782846,9.23,5.395939267586e-05,0.933749629677281,0.381563083491537,0
AZC5T_90,0.0173909058220145,1.36231884057971,0.256567214914025,16.61,0.00053501023449426,0.933749629677281,-0.205406971328001,0
AZC5T_99,0.043900328019955,2.78260869565217,0.617069256692054,14.53,0.0005239577733218,0.933749629677281,-0.52719526538034,0
AZC5T_111,0.0275951468542021,3.33333333333333,0.587195636342156,9.44,0.00034528018114657,0.933749629677281,-0.314678268072702,0
AZC5T_115,0.0550835072155781,1.94202898550725,1.20279535444693,15.39,6.4080346229e-07,0.933749629677281,-0.387732587630069,0
AZC7E_22,0.111091253503973,3.94202898550725,2.93166639733411,10.2,1.523797555164e-05,0.933749629677281,-0.233603596332047,0
AZC7E_47,0.208401779647232,5.55072463768116,6.00743844693621,2,3.711746677927e-05,0.933749629677281,-0.47884472108693,0
AZC7E_52,0.111015992336601,3.94202898550725,2.9302923054053,19.48,3.61956260364e-05,0.933749629677281,-0.229750612569941,0
