taxon,donor,donor_abundance
450749,D-3,802.289104302102
450749,D-10,2279.62214081539
450749,D-2,3318.76671457695
450749,D-5Fryst,658.476602301063
450749,D-14,1961.45195502882
1120988,D-6Fresk,1.98295398458768
1120988,D-7Fryst,2.20003411312171
1120988,D-15Fryst,3.11807283010429
1120988,D-13U,51.1804146669661
1120988,D-4,6.46045391037934
1120988,D-12,29.5769362389346
1120988,D-9Fryst,2.12130664551541
1120988,D-3,12.483751622958
1120988,D-10,7.15512285252789
1120988,D-2,8.77825792958106
1120988,D-5Fryst,13.4749645764201
1120988,D-14,8.84795516276059
548479,D-6Fresk,13.8806778921137
548479,D-7Fryst,11.0001705656085
548479,D-15Fryst,17.1494005655736
548479,D-13U,81.8886634671458
548479,D-4,13.2439305162776
548479,D-12,64.7344264852153
548479,D-9Fryst,12.7278398730925
548479,D-3,15.8127520557468
548479,D-10,12.1637088492974
548479,D-2,16.9712986638567
548479,D-5Fryst,10.7799716611361
548479,D-14,26.0781836376102
1122603,D-6Fresk,7.93181593835071
1122603,D-7Fryst,2.93337881749561
1122603,D-15Fryst,21.82650981073
1122603,D-13U,20.4721658667864
1122603,D-4,3.8762723462276
1122603,D-12,39.063878051423
1122603,D-9Fryst,5.30326661378852
1122603,D-3,7.90637602787341
1122603,D-10,5.72409828202231
1122603,D-2,7.02260634366485
1122603,D-5Fryst,5.38998583056804
1122603,D-14,24.2154562349237
566552,D-6Fresk,630.579367098882
566552,D-7Fryst,390.139382726916
566552,D-15Fryst,135.636168109537
566552,D-13U,40.9443317335729
566552,D-4,411.853936786683
566552,D-12,83.1502547094575
566552,D-9Fryst,18.031106486881
566552,D-3,2427.25744055714
566552,D-10,46.5082985414313
566552,D-2,445.935502822718
566552,D-5Fryst,102.409730780793
566552,D-14,94.5334156863368
1236550,D-6Fresk,7.93181593835071
1236550,D-7Fryst,6.60010233936512
1236550,D-15Fryst,17.1494005655736
1236550,D-13U,10.2360829333932
1236550,D-4,13.2439305162776
1236550,D-12,21.76416062865
1236550,D-9Fryst,3.18195996827311
1236550,D-3,12.0676265688594
1236550,D-10,12.1637088492974
1236550,D-2,7.60782353897025
1236550,D-5Fryst,3.59332388704536
1236550,D-14,46.1025032164894
1208104,D-6Fresk,7.93181593835071
1208104,D-7Fryst,3.66672352186951
1208104,D-15Fryst,23.3855462257822
1208104,D-13U,20.4721658667864
1208104,D-4,6.46045391037934
1208104,D-12,27.9027700367307
1208104,D-9Fryst,6.36391993654623
1208104,D-3,13.7321267852538
1208104,D-10,14.3102457050558
1208104,D-2,8.19304073427566
1208104,D-5Fryst,8.98330971761341
1208104,D-14,15.3675010721631
717962,D-6Fresk,3460.2547031055
717962,D-7Fryst,1650.75892954565
717962,D-15Fryst,8722.80874221675
717962,D-13U,5343.23529123126
717962,D-4,2448.83505472929
717962,D-12,11858.6772656106
717962,D-9Fryst,1240.96438762651
717962,D-3,4401.770822255
717962,D-10,3031.62555261607
717962,D-2,4528.41065727322
717962,D-5Fryst,3684.05531519326
717962,D-14,5332.05719018993
1089456,D-6Fresk,15.8636318767014
1089456,D-7Fryst,19.8003070180954
1089456,D-15Fryst,40.5349467913558
1089456,D-13U,51.1804146669661
1089456,D-4,18.4122936445811
1089456,D-12,41.2960996543615
1089456,D-9Fryst,23.3343731006695
1089456,D-3,17.0611272180426
1089456,D-10,23.611905413342
1089456,D-2,14.0452126873297
1089456,D-5Fryst,25.1532672093175
1089456,D-14,48.4309124698474
565653,D-6Fresk,23.7954478150521
565653,D-7Fryst,10.2668258612346
565653,D-15Fryst,99.7783305633373
565653,D-13U,76.7706220004492
565653,D-4,23.2576340773656
565653,D-12,237.731600712946
565653,D-9Fryst,19.0917598096387
565653,D-3,29.128753786902
565653,D-10,53.6634213939592
565653,D-2,51.4991131868756
565653,D-5Fryst,8.08497874585207
565653,D-14,134.116372993424
